Title,Product Link,Image URL,Price
DENIRO LINEN VEST,https://www.aritzia.com/en/product/deniro-linen-vest/119771.html?dwvar_119771_color=2357,https://assets.aritzia.com/image/upload/medium/s24_01_a04_119771_2357_on_b.jpg,$46.99
TECHNIQUE POPLIN DRESS,https://www.aritzia.com/en/product/technique-poplin-dress/116063.html?dwvar_116063_color=1274,https://assets.aritzia.com/image/upload/medium/s25_a08_116063_1274_on_a.jpg,$168
SHIMMER SATIN DRESS,https://www.aritzia.com/en/product/shimmer-satin-dress/99544.html?dwvar_99544_color=10252,https://assets.aritzia.com/image/upload/medium/s25_a08_99544_10252_on_a.jpg,$28.99-$98
REGAL DRESS,https://www.aritzia.com/en/product/regal-dress/124641.html?dwvar_124641_color=30751,https://assets.aritzia.com/image/upload/medium/s25_a08_124641_30751_on_a.jpg,$148
CELEBRATE DRESS,https://www.aritzia.com/en/product/celebrate-dress/119390.html?dwvar_119390_color=19773,https://assets.aritzia.com/image/upload/medium/s25_a08_119390_19773_on_a.jpg,$168
AUDIENCE SATIN MINI DRESS,https://www.aritzia.com/en/product/audience-satin-mini-dress/121524.html?dwvar_121524_color=19773,https://assets.aritzia.com/image/upload/medium/s25_a08_121524_19773_on_a.jpg,$138
SHIMMER SATIN TUBE DRESS,https://www.aritzia.com/en/product/shimmer-satin-tube-dress/124181.html?dwvar_124181_color=2175,https://assets.aritzia.com/image/upload/medium/f24_a08_124181_2175_on_a.jpg,$37.99-$128
BOND DRESS,https://www.aritzia.com/en/product/bond-dress/114316.html?dwvar_114316_color=6046,https://assets.aritzia.com/image/upload/medium/f24_a08_114316_6046_on_a.jpg,$148
ENGAGE DRESS,https://www.aritzia.com/en/product/engage-dress/115918.html?dwvar_115918_color=10252,https://assets.aritzia.com/image/upload/medium/s25_a08_115918_10252_on_a.jpg,$158
CONTOUR ONE-SHOULDER MINI DRESS,https://www.aritzia.com/en/product/contour-one-shoulder-mini-dress/123919.html?dwvar_123919_color=19773,https://assets.aritzia.com/image/upload/medium/s25_a08_123919_19773_on_a.jpg,$78
CANNELLE DRESS,https://www.aritzia.com/en/product/cannelle-dress/123730.html?dwvar_123730_color=33951,https://assets.aritzia.com/image/upload/medium/s25_a08_123730_33951_on_a.jpg,$148
AUDIENCE SATIN DRESS,https://www.aritzia.com/en/product/audience-satin-dress/120213.html?dwvar_120213_color=15104,https://assets.aritzia.com/image/upload/medium/s25_a08_120213_15104_on_a.jpg,$148
GOODLUX BLOOMSBURY MAXI DRESS,https://www.aritzia.com/en/product/goodlux-bloomsbury-maxi-dress/125733.html?dwvar_125733_color=10252,https://assets.aritzia.com/image/upload/medium/s25_a08_125733_10252_on_a.jpg,$98
HYDE SATIN MINI DRESS,https://www.aritzia.com/en/product/hyde-satin-mini-dress/115693.html?dwvar_115693_color=30751,https://assets.aritzia.com/image/upload/medium/f24_a08_115693_30751_on_a.jpg,$78.99-$158
EYECATCHER DRESS,https://www.aritzia.com/en/product/eyecatcher-dress/109178.html?dwvar_109178_color=1274,https://assets.aritzia.com/image/upload/medium/s25_a08_109178_1274_on_a.jpg,$73.99-$148
TERRACE DRESS,https://www.aritzia.com/en/product/terrace-dress/124799.html?dwvar_124799_color=22687,https://assets.aritzia.com/image/upload/medium/s25_a08_124798_22687_on_a.jpg,$148-$158
TUBEROSE DRESS,https://www.aritzia.com/en/product/tuberose-dress/105626.html?dwvar_105626_color=33951,https://assets.aritzia.com/image/upload/medium/s25_a08_105626_33951_on_a.jpg,$78.99-$198
LAWN DRESS,https://www.aritzia.com/en/product/lawn-dress/116165.html?dwvar_116165_color=33966,https://assets.aritzia.com/image/upload/medium/s25_a08_116165_33966_on_a.jpg,$128-$138
GALLERY DRESS,https://www.aritzia.com/en/product/gallery-dress/125227.html?dwvar_125227_color=1274,https://assets.aritzia.com/image/upload/medium/s25_a08_125227_1274_on_a.jpg,$88
ABBEY DRESS,https://www.aritzia.com/en/product/abbey-dress/118492.html?dwvar_118492_color=2819,https://assets.aritzia.com/image/upload/medium/f24_a08_118492_2819_on_a.jpg,$66.99-$168
CONTOUR SVELTE DRESS,https://www.aritzia.com/en/product/contour-svelte-dress/118130.html?dwvar_118130_color=33952,https://assets.aritzia.com/image/upload/medium/s25_a08_118130_33952_on_a.jpg,$78
SHIRT DRESS,https://www.aritzia.com/en/product/shirt-dress/121272.html?dwvar_121272_color=30654,https://assets.aritzia.com/image/upload/medium/f24_a08_121272_30654_on_a.jpg,$168
REMEDY LONGSLEEVE DRESS,https://www.aritzia.com/en/product/remedy-longsleeve-dress/123549.html?dwvar_123549_color=2819,https://assets.aritzia.com/image/upload/medium/f24_a08_123549_2819_on_a.jpg,$110
MABEL DRESS,https://www.aritzia.com/en/product/mabel-dress/124767.html?dwvar_124767_color=33966,https://assets.aritzia.com/image/upload/medium/s25_a08_124767_33966_on_a.jpg,$138-$148
MARTINE POPLIN DRESS,https://www.aritzia.com/en/product/martine-poplin-dress/121195.html?dwvar_121195_color=1274,https://assets.aritzia.com/image/upload/medium/s25_a08_121195_1274_on_a.jpg,$98
GOODLUX BLOOMSBURY DRESS,https://www.aritzia.com/en/product/goodlux-bloomsbury-dress/117057.html?dwvar_117057_color=30751,https://assets.aritzia.com/image/upload/medium/s25_a08_117057_30751_on_a.jpg,$38.99-$78
CONTOUR CAMI MAXI DRESS,https://www.aritzia.com/en/product/contour-cami-maxi-dress/118306.html?dwvar_118306_color=19773,https://assets.aritzia.com/image/upload/medium/s25_a08_118306_19773_on_a.jpg,$48.99-$98
OPTIMIZE DRESS,https://www.aritzia.com/en/product/optimize-dress/115453.html?dwvar_115453_color=19049,https://assets.aritzia.com/image/upload/medium/s25_a08_115453_19049_on_a.jpg,$98
SMOOTH MATTER™ REMEDY DRESS,https://www.aritzia.com/en/product/smooth-matter%E2%84%A2-remedy-dress/118501.html?dwvar_118501_color=30751,https://assets.aritzia.com/image/upload/medium/s25_a08_118501_30751_on_a.jpg,$48.99-$98
CHARMAINE SATIN DRESS,https://www.aritzia.com/en/product/charmaine-satin-dress/119561.html?dwvar_119561_color=1274,https://assets.aritzia.com/image/upload/medium/s25_a08_119561_1274_on_a.jpg,$73.99-$148
ARIA DRESS,https://www.aritzia.com/en/product/aria-dress/119302.html?dwvar_119302_color=11420,https://assets.aritzia.com/image/upload/medium/s25_a08_119302_11420_on_a.jpg,$148
MARTINE MIDI DRESS,https://www.aritzia.com/en/product/martine-midi-dress/124321.html?dwvar_124321_color=29508,https://assets.aritzia.com/image/upload/medium/s25_a08_124321_29508_on_a.jpg,$138
CONTOUR MINI TUBE DRESS,https://www.aritzia.com/en/product/contour-mini-tube-dress/118308.html?dwvar_118308_color=19773,https://assets.aritzia.com/image/upload/medium/s25_a08_118308_19773_on_a.jpg,$38.99-$78
TUBEROSE DRESS,https://www.aritzia.com/en/product/tuberose-dress/124436.html?dwvar_124436_color=1274,https://assets.aritzia.com/image/upload/medium/s25_a08_124436_1274_on_a.jpg,$198
CONTOUR MAXI TUBE DRESS,https://www.aritzia.com/en/product/contour-maxi-tube-dress/118760.html?dwvar_118760_color=33952,https://assets.aritzia.com/image/upload/medium/s25_a08_118760_33952_on_a.jpg,$48.99-$98
TECHNIQUE DRESS,https://www.aritzia.com/en/product/technique-dress/124784.html?dwvar_124784_color=1274,https://assets.aritzia.com/image/upload/medium/s25_a08_124784_1274_on_a.jpg,$168
POLISHED DRESS,https://www.aritzia.com/en/product/polished-dress/115899.html?dwvar_115899_color=30751,https://assets.aritzia.com/image/upload/medium/s25_a08_115899_30751_on_a.jpg,$178
MASTERMIND DRESS,https://www.aritzia.com/en/product/mastermind-dress/119405.html?dwvar_119405_color=33437,https://assets.aritzia.com/image/upload/medium/f24_a08_119405_33437_on_a.jpg,$83.99-$168
AUTOGRAPH DRESS,https://www.aritzia.com/en/product/autograph-dress/120632.html?dwvar_120632_color=4425,https://assets.aritzia.com/image/upload/medium/f24_a08_120632_4425_on_a.jpg,$133.99-$268
SMOOTH MATTER™ BOULEVARD DRESS,https://www.aritzia.com/en/product/smooth-matter%E2%84%A2-boulevard-dress/124761.html?dwvar_124761_color=33966,https://assets.aritzia.com/image/upload/medium/s25_a08_124761_33966_on_a.jpg,$78
EYECATCHER MINI DRESS,https://www.aritzia.com/en/product/eyecatcher-mini-dress/121483.html?dwvar_121483_color=1274,https://assets.aritzia.com/image/upload/medium/f24_a08_121483_1274_on_a.jpg,$63.99-$128
TERRACE DRESS,https://www.aritzia.com/en/product/terrace-dress/124799.html?dwvar_124799_color=30751,https://assets.aritzia.com/image/upload/medium/s25_a08_124799_30751_on_a.jpg,$148-$158
REVIVE DRESS,https://www.aritzia.com/en/product/revive-dress/115472.html?dwvar_115472_color=1274,https://assets.aritzia.com/image/upload/medium/s25_a08_115472_1274_on_a.jpg,$138
RESOLUTION DRESS,https://www.aritzia.com/en/product/resolution-dress/115777.html?dwvar_115777_color=2819,https://assets.aritzia.com/image/upload/medium/f24_a08_115777_2819_on_a.jpg,$49.99
MONTPELLIER DRESS,https://www.aritzia.com/en/product/montpellier-dress/69786.html?dwvar_69786_color=27384,https://assets.aritzia.com/image/upload/medium/f24_a08_69786_27384_on_a.jpg,$88.99
PRIESTLY DRESS,https://www.aritzia.com/en/product/priestly-dress/123046.html?dwvar_123046_color=18891,https://assets.aritzia.com/image/upload/medium/s25_a08_123046_18891_on_a.jpg,$128
CYPRIE DRESS,https://www.aritzia.com/en/product/cyprie-dress/75007.html?dwvar_75007_color=28755,https://assets.aritzia.com/image/upload/medium/f24_a08_75007_28755_on_a.jpg,$88.99
EXPRESSION DRESS,https://www.aritzia.com/en/product/expression-dress/123264.html?dwvar_123264_color=6046,https://assets.aritzia.com/image/upload/medium/s25_a08_123264_6046_on_a.jpg,$98
WELLBEING LINEN DRESS,https://www.aritzia.com/en/product/wellbeing-linen-dress/116488.html?dwvar_116488_color=15949,https://assets.aritzia.com/image/upload/medium/f24_a08_116488_15949_on_a.jpg,$98
LAWN DRESS,https://www.aritzia.com/en/product/lawn-dress/116165.html?dwvar_116165_color=33966,https://assets.aritzia.com/image/upload/medium/s25_a08_116165_33966_on_a.jpg,$128-$138
CONTOUR FLOURISH MINI DRESS,https://www.aritzia.com/en/product/contour-flourish-mini-dress/122177.html?dwvar_122177_color=11420,https://assets.aritzia.com/image/upload/medium/f24_a08_122177_11420_on_a.jpg,$34.99-$66
ENGAGE DRESS,https://www.aritzia.com/en/product/engage-dress/115918.html?dwvar_115918_color=30751,https://assets.aritzia.com/image/upload/medium/s25_a08_115918_30751_on_a.jpg,$158
FLUID DRESS,https://www.aritzia.com/en/product/fluid-dress/115471.html?dwvar_115471_color=1274,https://assets.aritzia.com/image/upload/medium/s25_a08_115471_1274_on_a.jpg,$128
CONTOUR CREW LONGSLEEVE MAXI DRESS,https://www.aritzia.com/en/product/contour-crew-longsleeve-maxi-dress/123903.html?dwvar_123903_color=6046,https://assets.aritzia.com/image/upload/medium/f24_a08_123903_6046_on_a.jpg,$48.99-$68.60
90S SLIT MIDI DRESS,https://www.aritzia.com/en/product/90s-slit-midi-dress/120293.html?dwvar_120293_color=1274,https://assets.aritzia.com/image/upload/medium/s25_a08_120293_1274_on_a.jpg,$128
BARRAFINA LINEN DRESS,https://www.aritzia.com/en/product/barrafina-linen-dress/119300.html?dwvar_119300_color=1275,https://assets.aritzia.com/image/upload/medium/s24_04_a08_119300_1275_on_a.jpg,$158
SATURN MINI DRESS,https://www.aritzia.com/en/product/saturn-mini-dress/97894.html?dwvar_97894_color=11420,https://assets.aritzia.com/image/upload/medium/f23_04_a08_97894_11420_on_a.jpg,$26.99
LUXE LOUNGE MERIDIAN DRESS,https://www.aritzia.com/en/product/luxe-lounge-meridian-dress/121649.html?dwvar_121649_color=4425,https://assets.aritzia.com/image/upload/medium/f24_a08_121649_4425_on_a.jpg,$34.99
SMOOTH MATTER™ LADYWELL DRESS,https://www.aritzia.com/en/product/smooth-matter%E2%84%A2-ladywell-dress/120103.html?dwvar_120103_color=32941,https://assets.aritzia.com/image/upload/medium/s25_a08_120103_32941_on_a.jpg,$98
CONTOUR SQUARENECK LONGSLEEVE MINI DRESS,https://www.aritzia.com/en/product/contour-squareneck-longsleeve-mini-dress/122360.html?dwvar_122360_color=33528,https://assets.aritzia.com/image/upload/medium/f24_a08_122360_33528_on_a.jpg,$34.99-$43.99
